latitude,longitude,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,population_density_proxy,accessibility_score,foot_traffic_score,competition_pressure,suitability
27.664029999467548,85.35372570250183,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.748368130291095,85.27806094266306,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.732894200995535,85.27791772789121,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.724335154634698,85.27555093751467,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.73074074958045,85.29501056807838,0,0,500,500,1,102.39,7,2,77.7,0,500,1,102.39,21.65,1.54,4.4,0,High
27.74957067176849,85.29075032556511,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.671343757336274,85.33844655686802,4,0,450.23,473.17,6,468.18,1,0,471.72,1,469.94,2,420.09,16.55,0.62,1.3,2.55,High
27.733769546142756,85.34566584584049,1,0,276.22,276.22,6,322.09,1,0,457.23,0,500,2,244.54,10.19,2.34,0.9,0.64,High
27.73704006266624,85.3266577418402,5,4,25.63,170.36,4,374.96,4,0,210.51,8,61.54,0,500,61.12,0.6,5.9,3.62,High
27.746903263639954,85.30457207422596,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.74846266385435,85.32296503352403,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.669234688026588,85.36179287170441,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.750003397094453,85.30786231119724,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.70420124615366,85.32397856913664,20,0,219.82,334.75,10,392.31,30,7,78.56,8,137.85,3,335.23,138.78,2.29,10,10,High
27.72951632312629,85.3741278984462,1,0,445.71,445.71,1,248.34,4,0,396.61,1,340.86,0,500,16.55,0.3,1.6,0.64,High
27.713673396887266,85.35212486010647,10,2,144.83,318.41,35,423.7,20,1,128.46,1,219.79,0,500,57.3,0.92,9.9,6.5,High
