osm_id,highway_type,name,nodes
4825630,primary,कान्ति पथ,"[31019141, 1806066074, 4881356631, 2126598729, 12921161297, 5316992024, 1273136891]"
4825671,tertiary,थाबाही सादक,"[268301866, 3094285269, 4752141776, 4751857163, 31019645, 3188098272, 4723674796]"
4840030,secondary,बत्तीसपुतली मार्ग,"[4879891022, 4977852018, 2201363909, 1350018947, 2201363919, 6522082555, 1835392411, 6089270919, 13277053619, 10921557389, 3547387340, 1996642315, 6089270926, 1362317841, 10921568805, 6522174218, 1350400553, 2687363990, 3547387336, 31150643]"
4840039,secondary,बाबुराम अचार्य मार्ग,"[31150643, 360695605]"
4840054,primary,Unnamed,"[11135347255, 11135347258, 31148985, 6098737536, 4871681999, 31148993]"
4840057,secondary,कमलादी मार्ग,"[1273357490, 11135347254, 11135347255]"
4840060,residential,Pragya Marg,"[5463610196, 11363673088, 1278032887, 313917677, 12043476933, 31149061, 31019475]"
4840073,secondary,तीनधारा मार्ग,"[31019475, 31149080, 6225669693, 1278032895, 12043476915, 1273357432, 6525300707, 994735227, 31148993]"
4840092,primary,जमल मार्ग,"[31019147, 313917671]"
4840104,primary,रत्न पार्क मार्ग,"[6511954910, 6511954900, 6511954901, 6511954902, 6511954903, 31019141]"
4840124,secondary,बाघबजार सडक,"[31148727, 5846566945]"
4840264,secondary,पशुपति सडक,"[4879891022, 12679782151, 1274038045, 13077385859, 1835392546, 13077385856, 1835392534, 31150995, 12747304562, 1274038069, 12747304561, 1274038065, 31150999, 31151002, 1905248812, 1274038058, 12747304565, 1835392544, 12744074468, 12744074469, 3074569322, 1632564303, 5052626743, 1281218920]"
4840283,primary,नारायणहिटी पथ,"[313286659, 3491198847, 1278029417, 6294694802, 4837948998, 6294694810, 31019450]"
4840288,primary,हात्तीसार सडक,"[31151322, 31151324, 10964766565, 4873372303, 13127868430, 31151329]"
4840304,trunk,Kathmandu Ringroad,"[2022632179, 3068112428, 1980624552, 5312309763, 5312309764, 31152070, 5312309765, 5312309766, 1278006200, 31152072, 5312309767, 5312309768, 3141826385, 6658375854, 1278006056, 10945722441, 1278006365]"
4840318,primary,Unnamed,"[31151651, 31151652, 5119322545, 31151653]"
4840388,tertiary,New Road,"[31152736, 3314100579, 5317003421, 5317003020, 31152733, 1464034168, 11644828722, 1464034169, 1497546343, 8524936329, 1464034170, 1464034171, 10173069186, 3066716781, 1464034173]"
4840392,tertiary,सुक्र पथ,"[1803523644, 13016730992, 1803523726, 1965684795, 12989384127, 1274192041, 4861407531]"
4840408,tertiary,धर्म मार्ग,"[4861407195, 3066716779, 1274183794, 724832285, 31152946]"
4840409,residential,Chittadhar Marg,"[31019262, 31152988, 2294227607, 2088657276, 31152989, 11052131846, 11052131858, 11052131865, 8417602469, 11052131873, 8417602468, 2126480291, 9473603200, 11052131870, 1803523643, 2127116483, 11043384652, 8417396829, 11043384659, 1945833428, 11043384665, 11043430715, 8410652773, 9466584721, 670169117]"
4840453,residential,Swayambhu Marg,"[7042932948, 3066257441, 1275284589, 3066257480, 1275284588, 13174985840, 31153257, 9446514637, 31153258, 31153259, 13174993235, 2206585276, 3482564586, 9446727542, 2206585231, 13022380560, 1275280796]"
5407519,secondary,गुहेश्वरी मार्ग,"[12743848229, 12743848230, 3074601513, 12679604750, 2216140366, 38925428, 12679604749, 38925430, 12679700206, 12679604762, 12679604764, 38925431, 12679604763, 7996945333, 12679604768, 12679604766, 2216091017]"
5407550,secondary,धर्म भक्त मार्ग,"[1275596977, 12998936230, 3074581526, 6275508328, 6275508329, 12743857472, 38926246, 12743848229]"
23395604,secondary,Unnamed,"[253302531, 6525492783, 10242482157, 1124409983, 1123078705, 1124409988, 1960744434, 11104506627]"
24667319,trunk,रबिभवन सडक,"[268113971, 3134923412, 10024152743, 3134923415, 3134923416, 8435889452, 3134923419, 3134923418, 10024152742, 1954398097, 4330967202, 360828413]"
24667562,primary,बालाजु-सौरखुट्टे सडक,"[1952134574, 13114000340, 4315554982, 2290302763, 1980583710, 1977514717]"
24667563,residential,Ganeshraj Marg,"[268116940, 1945772075, 1945772074]"
24683724,pedestrian,Z Marg,"[268301361, 1280033521]"
24683727,residential,Nityanath Marg,"[268301695, 1968417648, 1968417695, 2297964865, 2206584998, 2206584995, 2139844850]"
24683728,tertiary,चन्द्रमन मास्की मार्ग,"[1497582908, 2342381747, 8417396830, 2126480302, 8417396831, 8417396833, 8417396832, 1803523643, 9473645604, 11043384649, 11052131887, 11052131889, 11052131893, 11052131890, 9471412042, 6294688463, 9471424230, 11043430752, 10779882939, 11052105647, 11052092349, 9500516426, 1803523644]"
24683729,residential,Jyatha Marg,"[7042932945, 8413883801, 4875372913, 4875439188, 6099834589, 268301899, 4875439187, 1968417633, 7027659330, 4922436091, 3081460745, 4875375457, 8441980542, 3488413750, 4875499234, 1778746594, 3499033209, 8413689856, 8413689859, 4875375440, 313343727, 943246302, 6102184786, 1350002249, 6102180071, 6102180063, 10779882929, 3312033730, 5075042602, 5068688172, 9494440617, 5068744292, 3312033731, 5047499207, 5068630055, 5068744258, 5068536126, 268301633]"
24683733,tertiary,Khichapukhu Sadak,"[724831567, 6294659582, 12946679040, 1968247847, 1968247848, 8523421736, 1968247850, 1802839448, 5317014563, 5317014564, 5317014562, 268301964]"
24683734,tertiary,Unnamed,"[1490263257, 12724782453, 1497546369, 268301954, 5317014560, 1275284595, 1906483096, 5317014556, 1275280658, 1275280666, 5317014558, 268301961, 5317014559]"
24683736,residential,Surat Bajra Marg,"[268301980, 6294688462, 268301981, 268301984, 268301986, 268301987, 11056064587, 268301988, 268301992]"
24684286,pedestrian,Ganga Path,"[4861407623, 12728070182, 268307527, 1803523682]"
24684287,residential,Dhobidhara Marg,"[313541417, 6091591662, 1279198208, 6091591661, 268307629, 3502034670, 6091707899, 10904431333, 268307618, 10904431339, 1279198165, 268307596, 6098737525, 1279198219, 1279198245, 2462710724, 313912660, 1279198213, 6091707919, 4756018550, 1279198234, 10904954914, 313912661, 313912664, 1279198244, 4918726457, 3069572503, 1805063073, 12985435335, 12985435336, 11135347251]"
24684291,secondary,उत्तर ढोका रोड,"[1480941446, 1480941449, 5380368913, 932366320, 10880682293, 268307702, 789059622, 5085635907, 1950327082, 2057252774]"
24684294,residential,Karunamaya Marg,"[268307839, 564129602, 7693109560, 3925024545, 7693109559, 268308144, 6089575663, 7693109563, 7693109564, 1962233644, 5047884662, 9859883790, 9859883791, 1962231660, 268308155, 1759672087, 4333265319]"
24684297,steps,Unnamed,"[5858162312, 2874197168, 560486646, 5858162305, 5858162304, 560486645, 560486644, 560486643, 560486642, 560486641, 560486640, 1805146172, 560486639, 560486636]"
