type,name,latitude,longitude,geometry_type,osm_id,amenity,building,phone,operator,operator_type,student_count,capacity_persons,capacity_beds,opening_hours,wheelchair,addr_street,addr_city,addr_ward,website
multipolygon,Adarsha Lower Secondary School,27.71359975,85.33126491875,Polygon,relation/2025798,school,school,01-417757,,government,101.0,,,,,,,,
multipolygon,Alok Vidyashram,27.70712023,85.34187589000001,Polygon,relation/4046810,school,,,,private,500.0,,,,,,,,
multipolygon,Mount Glory English Boarding High School,27.70603575,85.29878289166668,Polygon,relation/12266985,school,,01-4276477,,private,800.0,,,,,,,,
multipolygon,Future Star English Secondary School,27.707536325,85.30061665,Polygon,relation/12267162,school,,,,private,450.0,,,,,,,,
multipolygon,Gurukul Pearl's school,27.70302302,85.28594242,Polygon,relation/12271329,school,,,,private,178.0,,,,,,,,
multipolygon,Jana Prabhat Secondary School,27.698473505555555,85.29372237777778,Polygon,relation/12271768,school,,,,government,650.0,,,,,,,,
multipolygon,Modern Nepal Academy,27.71073292,85.29472478,Polygon,relation/12274530,school,,01-4301680,,private,350.0,,,,,,,,
multipolygon,Divyatara Boarding School,27.71235972,85.2879868,Polygon,relation/12274724,school,,,,private,120.0,,,,,,,,
multipolygon,Academy of Sacred Hearts,27.713944915384616,85.30350936923077,Polygon,relation/12286059,school,,,,private,200.0,,,,,,,,
multipolygon,Snow Apex Academy,27.70895852142857,85.32411553571428,Polygon,relation/15882210,school,,,,private,325.0,,,,,,,,
school,Tindhara Pathshala,27.709495466666667,85.31747633333333,Polygon,way/112654802,school,yes,,Nepal Sanskrit University,,,,,,,,,,
school,Lincoln School,27.694018041666663,85.29370985416666,Polygon,way/126322078,school,,,,,,,,,,,,,
school,Glacier International Higher Secondary School,27.68797283125,85.34538826875,Polygon,way/168839124,school,,4107803,,private,550.0,,,,,,,,
school,Jaljala Shishu Sadan Secondary School,27.70863816,85.30519343,Polygon,way/169078006,school,,,,private,400.0,,,,,,,,
school,Nava Adarsha Secondary School,27.703563433333333,85.30668123333334,Polygon,way/169429526,school,educational,,Nava Adarsha Secondary School,government,287.0,50andabove,,,,,,,
school,Cosmic International Academy,27.67487089642857,85.34534185714286,Polygon,way/172953244,school,,,,private,850.0,,,,,,,,
school,SOS koteshwar,27.67621418888889,85.34426858888888,Polygon,way/172954057,school,,,,,,,,,,,,,
school,Malpi International College,27.723945077777778,85.32803161111111,Polygon,way/177789379,school,,,,private,100.0,,,,yes,,,,
school,Malpi Primary School,27.71707243157895,85.32681169473685,Polygon,way/178914637,school,,,,private,210.0,,,,,,,,
school,Mount Gaurishankar School,27.72207627,85.32816552,Polygon,way/179465469,school,,,,private,200.0,,,,,,,,
school,Shaheed Shukra Secondary School,27.70349574444445,85.31870455555556,Polygon,way/179736868,school,,,,government,400.0,,,,,,,,
school,Samye Memorial Buddist Vihara,27.74003109230769,85.3440471923077,Polygon,way/180082302,school,,,,community,200.0,,,,,,,,
school,Phoenix College,27.7041716875,85.332185175,Polygon,way/180087479,school,school,,private,,,,,,,maitidevi,,,
school,Shiradi Sai Academy,27.7269144,85.33426203,Polygon,way/180349345,school,,,,private,155.0,,,,,,,,
