place_id,name,lat,lng,type,rating,review_count,price_level,is_operational,source
osm_432195183,Hermann Helmers Bakery,27.6783303,85.312612,cafe,,,,True,openstreetmap
osm_435005609,क्याफे डु टेम्पल,27.6739264,85.3255321,cafe,,,,True,openstreetmap
osm_669269004,Cafe U,27.6826497,85.3062865,cafe,,,,True,openstreetmap
osm_669512726,Bay 7 Restaurant & Bar,27.6810649,85.3104154,cafe,,,,True,openstreetmap
osm_669530117,Vesper Cafe,27.6761258,85.3135444,cafe,,,,True,openstreetmap
osm_669530248,New Orleans Cafe,27.6760015,85.3142368,cafe,,,,True,openstreetmap
osm_671207877,Cafe Columbus,27.6770864,85.3095229,cafe,,,,True,openstreetmap
osm_675712062,Manna Cafe,27.678298,85.3122961,cafe,,,,True,openstreetmap
osm_873531754,Cafe 16,27.6760518,85.3126299,cafe,,,,True,openstreetmap
osm_1044375800,Cafe Du Temple,27.7217332,85.3614154,cafe,,,,True,openstreetmap
osm_1096317916,Korean Taste Restaurant,27.6743179,85.3182364,cafe,,,,True,openstreetmap
osm_1349658493,Annapurna,27.7153399,85.3116362,cafe,,,,True,openstreetmap
osm_1349664587,काठमाडौं टेरेस,27.7139958,85.3113644,cafe,,,,True,openstreetmap
osm_1349680676,Omei,27.7133125,85.312193,cafe,,,,True,openstreetmap
osm_1349680730,Momo,27.7113583,85.3087489,cafe,,,,True,openstreetmap
osm_1349697710,निर्मला,27.7161351,85.3099503,cafe,,,,True,openstreetmap
osm_1350468459,Museum Cafe,27.6733205,85.325561,cafe,,,,True,openstreetmap
osm_1389188958,कफी स्टेशन,27.6906972,85.3179342,cafe,,,,True,openstreetmap
osm_1399507907,Cuppas Cafe,27.7231911,85.2939657,cafe,,,,True,openstreetmap
osm_1497531274,The bakery cafe,27.6727379,85.3139678,cafe,,,,True,openstreetmap
osm_1497531288,Alinas Bakery Cafe,27.6725083,85.3152217,cafe,,,,True,openstreetmap
