id,amenity,name,name:en,name:ne,operator:type,education_level,student:count,personnel:count,building_count,phone_combined,email_combined,web_social,opening_hours,address,addr:street,addr:tole,addr:ward,addr:city,building:levels,building:structure,building:ownership,physical_condition,roof:shape,roof:material,floor:material,building:soft_storey,seismic_resistance,retrofit,wheelchair,source,latitude,longitude,osm_last_updated
relation/2025798,school,Adarsha Lower Secondary School,,,Government,Lower Secondary,101,13,1,01-417757,,,,,,,,,3,load_bearing_stone_wall_in_mud_mortar,rent,poor,gabled,roof_tiles,jack_arch,no,no,no,,,27.7136072,85.3313708,2017-03-24T13:06:11Z
relation/4046810,school,Alok Vidyashram,,,Private,Higher Secondary,500,40,2,,,,,,,,,,,,,,,,,,,,,,27.7071562,85.341882,2014-09-17T07:25:22Z
relation/12266985,school,Mount Glory English Boarding High School,,,Private,Higher Secondary,800,50,3,01-4276477,,,,,,,,,,,,,,,,,,,,,27.7060226,85.2987605,2021-02-02T15:22:37Z
relation/12267162,school,Future Star English Secondary School,,,Private,Secondary,450,40,2,,,,,,,,,,,,,,,,,,,,,,27.7074977,85.3006046,2021-02-02T16:11:36Z
relation/12271329,school,Gurukul Pearl's school,,,Private,Lower Secondary,178,20,1,,,,,,,,,,,,,,,,,,,,,,27.7029976,85.285952,2021-02-03T17:16:49Z
relation/12271330,college,Rupy's International College,,,Private,Higher Secondary,317,57,6,,,,,,,,,,,,,,,,,,,,,,27.7041386,85.2860158,2021-02-03T17:16:49Z
relation/12271768,school,Jana Prabhat Secondary School,,,Government,Secondary,650,43,4,,,,,,,,,,,,,,,,,,,,,,27.6983871,85.2936896,2021-02-03T19:11:16Z
relation/12274530,school,Modern Nepal Academy,,,Private,Secondary,350,25,1,01-4301680,,,,,,,,,,,,,,,,,,,,,27.710754,85.2947475,2021-02-04T15:47:45Z
relation/12274724,school,Divyatara Boarding School,,,Private,Secondary,120,14,4,,,,,,,,,,,,,,,,,,,,,,27.7123445,85.2880067,2021-02-04T16:46:21Z
relation/12286059,school,Academy of Sacred Hearts,,,Private,Secondary,200,20,3,,,,,,,,,,,,,,,,,,,,,,27.7139465,85.303514,2021-02-07T14:42:09Z
relation/13773448,college,Don Bosco College,,,Private,College/Higher Education,285,55,2,01-4600546,,,,,,,,,,,,,,,,,,,,,27.6748344,85.341972,2022-02-08T07:52:45Z
relation/15882210,school,Snow Apex Academy,,,Private,Secondary,325,32,4,,,,,,,,,,,,,,,,,,,,,,27.7090003,85.3241177,2023-05-21T05:25:11Z
way/84035026,college,St. Xavier's College,,,Private Non-Profit,College/Higher Education,2800,200,5,,,https://sxc.edu.np/,,,,,,,,,,,,,,,,,,OpenDRI survey,27.6932545,85.3211397,2022-05-24T06:49:44Z
way/84035028,university,TU Controller of Examinations,,Pariksha niyantran karyalaya,Unknown,,,,,,,https://www.tuexam.edu.np/,,,,,,,,,,,,,,,,,,,27.684145,85.295339,2022-05-24T06:46:56Z
