osm_id,amenity_type,name,latitude,longitude
268310351,bus_station,Macha Pokhari Bus Station,27.7353517,85.3057238
279376624,bus_station,Unnamed,27.705701,85.3142199
279376643,place_of_worship,Unnamed,27.7158423,85.2892175
313140391,restaurant,Wunjala,27.7143297,85.3284556
425306730,bank,Nabil Bank Pulchok,27.682751,85.3189167
432195174,bicycle_rental,Epic Mountain Bikes,27.6786321,85.3107179
432195178,restaurant,Mustang Thakali Kitchen,27.6782359,85.3129059
432195183,cafe,Hermann Helmers Bakery,27.6783303,85.312612
435005609,cafe,क्याफे डु टेम्पल,27.6739264,85.3255321
442050144,cinema,गुना सिनेमा,27.6675075,85.3340389
564129617,place_of_worship,महाबुद्ध मन्दिर,27.6689984,85.3271415
564137121,place_of_worship,तुकाम्बाल बुद्ध स्तूपा,27.6999229,85.3046155
568545483,restaurant,काठमाडौं भान्सा,27.7092855,85.3164252
575231600,school,अक्सफर्ड बोर्डिङ स्कुल,27.7201758,85.3017867
669249210,restaurant,DanRan Japanese Restaurant,27.6762062,85.3133733
669269004,cafe,Cafe U,27.6826497,85.3062865
669512726,cafe,Bay 7 Restaurant & Bar,27.6810649,85.3104154
669529181,fast_food,Singma Food Court,27.6759343,85.3135256
669530117,cafe,Vesper Cafe,27.6761258,85.3135444
669530248,cafe,New Orleans Cafe,27.6760015,85.3142368
669530474,restaurant,Chapter 9 Bar/Restaurent,27.6762484,85.312228
671207877,cafe,Cafe Columbus,27.6770864,85.3095229
671207878,restaurant,लाक्पाज चुलो,27.6755584,85.3128583
671292266,pharmacy,Unnamed,27.6770348,85.309758
671528357,restaurant,जालान जालान मलेसियाली,27.685317,85.3131761
675712062,cafe,Manna Cafe,27.678298,85.3122961
708987886,restaurant,Delima Garden,27.7153737,85.3097712
724269560,bank,हिमालय बैंक,27.7137361,85.3134911
724369852,place_of_worship,Unnamed,27.7120545,85.3157522
764925206,place_of_worship,सोह्रहाते गणेश,27.7071698,85.3146751
764953549,health_post,Sanepa Health Post,27.6850364,85.3021077
764953569,police,Unnamed,27.6847278,85.3010504
765002031,fuel,Nepal Police Petrol Pump,27.7147674,85.3282512
766982477,police,Balkhu,27.6847585,85.2980741
766982671,police,Kalimati,27.6963576,85.2993664
849674216,post_office,"District Post Office, Patan",27.6785223,85.320904
873531754,cafe,Cafe 16,27.6760518,85.3126299
903718871,place_of_worship,बालकुमारी मन्दिर,27.6720128,85.3358972
913493802,bus_station,Dhokashi,27.670661,85.2790338
943246296,atm,एभरेस्ट बैंक,27.7165781,85.3117935
943246318,hospital,मनमोहन मेमोरियल अस्पताल,27.7179394,85.3112441
943246325,restaurant,Kasthamandap Restaurant,27.7039312,85.3060388
943251150,toilets,Unnamed,27.7095175,85.348943
943328640,festival_grounds,Swing,27.713451,85.3250236
945656947,fuel,Mali Oil Stores,27.6986146,85.2998353
946475745,bank,KIST Bank,27.7138262,85.3114452
947910112,place_of_worship,Tahiti Stupa,27.7104283,85.310888
947955738,place_of_worship,भोडी वृक्ष,27.705133,85.307694
949307727,place_of_worship,नारदेवी अजिमा मन्दिर,27.7077724,85.3072942
977642652,police,रेन्जरहरू,27.7073176,85.2925744
992595493,place_of_worship,महेन्द्रेश्वर मन्दिर,27.7053263,85.3078378
992602456,atm,नबिल बैंक,27.7029907,85.3091728
994330312,dentist,Dent Inn - The Dental Clinic,27.7087386,85.3184116
1044353084,place_of_worship,चाबहिल चन्द्रबिनायक गणेशस्थान,27.716684,85.3445859
1045848953,restaurant,Everest Steak House,27.7117585,85.3093039
1096317916,cafe,Korean Taste Restaurant,27.6743179,85.3182364
1143907450,parking,Unnamed,27.7280115,85.3459986
1143907454,taxi,Unnamed,27.7278025,85.3459557
1143907461,pharmacy,Unnamed,27.7290561,85.3470286
1143907481,fast_food,Unnamed,27.7283723,85.3463634
1144695418,place_of_worship,Bhatbhateni Temple,27.7195904,85.3310708
1144695462,taxi,Unnamed,27.7217928,85.3356981
1282548517,atm,Unnamed,27.6800046,85.3164903
1347389334,atm,Laxmi Bank Limited,27.6681844,85.321487
1349658488,restaurant,मोमो स्टार,27.7160061,85.3113855
1349658493,cafe,Annapurna,27.7153399,85.3116362
1349658498,restaurant,मोमोटारु रेस्टुरेन्ट,27.716211,85.3116812
1349664582,taxi,Unnamed,27.7140502,85.3129976
1349664587,cafe,काठमाडौं टेरेस,27.7139958,85.3113644
1349664592,taxi,रिक्शा स्ट्यान्ड,27.714249,85.3113604
1349680676,cafe,Omei,27.7133125,85.312193
1349680730,cafe,Momo,27.7113583,85.3087489
1349697691,fast_food,Nepal fastfood,27.7154872,85.3113788
1349697710,cafe,निर्मला,27.7161351,85.3099503
1349697739,cinema,Nischal Cinema Hall,27.7174318,85.310631
1350362258,cinema,Big Cinema,27.7094494,85.3269526
1350468459,cafe,Museum Cafe,27.6733205,85.325561
1350468472,atm,Unnamed,27.7063307,85.3428173
1350468491,restaurant,Red Dingo,27.6721502,85.3150917
1380026501,place_of_worship,कृष्ण मन्दिर,27.6618348,85.3427187
1380026505,police,इमाडोल प्रहरी चौकी,27.6592311,85.3439525
1380113001,fuel,बालमुमारी पम्प,27.6714272,85.3396609
1389188958,cafe,कफी स्टेशन,27.6906972,85.3179342
1389193534,fast_food,Indreni Fast Food,27.6885061,85.3321133
1390372808,restaurant,Namaste Pub and Lounge,27.7141705,85.3114087
1393448754,atm,Unnamed,27.697447,85.3498155
1393448773,fuel,तपस्या ट्रेडर्स,27.6985361,85.3477297
1399507907,cafe,Cuppas Cafe,27.7231911,85.2939657
1487816091,place_of_worship,लोहान देगा,27.6778602,85.2776022
1496573246,fuel,गायत्रीदेवी आयल,27.6664536,85.3080675
1496573279,police,Satdobato Police Station,27.6584715,85.3248474
1496626772,pharmacy,Unnamed,27.6615124,85.3057071
1496626794,pharmacy,Unnamed,27.668194,85.3062275
1496626825,place_of_worship,बिष्णु देवी मन्दिर,27.6653665,85.3057591
1496636156,place_of_worship,Unnamed,27.6604766,85.3016141
1496636160,parking,Unnamed,27.6589322,85.2929251
1496652910,place_of_worship,कान देवता थान,27.6867249,85.3172149
1496676791,toilets,Unnamed,27.7014207,85.3030464
1496676793,taxi,Unnamed,27.7020524,85.3028962
1496676794,fuel,Sajha Petrol Pump,27.6978425,85.3029265
1496676797,bank,Nabil Bank,27.6941109,85.3137108
1496676799,pharmacy,Prakash Pharmacia,27.6960583,85.3073164
1496676801,place_of_worship,राम मन्दिर,27.7004708,85.3046342
1496676806,social_facility,पारोपाकर होस्टल,27.7021986,85.3032025
1496676809,fuel,कनक तेल भण्डार,27.69808,85.3027121
1496676816,drinking_water,Unnamed,27.7005563,85.304527
1496687882,place_of_worship,जोर गणेश मन्दिर,27.7016677,85.3074345
1496687887,place_of_worship,अटाको नारायण मन्दिर,27.7030165,85.3060612
1496687922,place_of_worship,लखै हाउस,27.7014444,85.3046825
1496690034,place_of_worship,भीमसेन मन्दिर,27.7024928,85.3041965
