is_operational,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,population_density_proxy,accessibility_score,foot_traffic_score,competition_pressure,target_encoded
-1.0,-0.9677975554617116,-0.7863771549966431,0.0,-3.7523779554003602,-0.8262845143574336,-3.8722014578870283,-2.155268527396054,-1.0601522380942672,-1.615357941044721,-0.22975302542067488,-1.750419136964426,-1.06093133056678,-2.0337017145632803,-2.5506939068482746,-1.0997024024908975,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9753047580269869,-0.8286553123775715,0.0,-3.736630694132214,-0.7661973537974216,-3.8867283979352445,-2.198581252814096,-0.6753196471441199,-1.6044556061304767,-1.859625952224198,-1.7557356236002981,-0.2746189029731582,-2.0276444377755394,-2.6154785014192625,-0.2912979661896776,-3.8567497218414504,-3.008023821468718,0
-1.0,-0.9405839461625884,-0.8165758388401634,0.0,-3.7169002898248027,-0.8262845143574336,-3.873035203817309,-2.2635503409411597,-0.8677359426191935,-1.5928041960273562,-1.6267869626808376,-1.7517951620907113,0.5116935246204635,-2.0309260889715444,-2.605657514569734,-0.9806735284342761,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.8899103288469797,-0.6172645254729293,0.0,-3.7420109563452097,-0.8326094786269085,-3.874932787898889,-2.2635503409411597,-1.637401124519488,-1.5798630602329289,-1.1611089835941169,-1.7397057577487087,-1.4540875443635908,-2.014777943512525,-2.6154785014192625,-1.8386733289257549,-4.584375400610798,-2.923347948880815,0
-1.0,-0.9649823544997334,-0.8528142594523878,0.0,-3.7174624689260054,-0.8041471394142713,-3.863596008820918,-2.176924890105075,-1.0601522380942672,-1.602385463192182,-1.6267869626808376,-1.7423511703309045,-0.2746189029731582,-2.018980210597486,-2.6017260363175683,-1.6502109450027709,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9837503609129218,-0.8467745226836836,0.0,-3.7494546240741036,-0.8547468535700707,-3.849810777814575,-2.4151448799043074,-1.2525685335693406,-1.5941315321883978,-2.0924649417675583,-1.7302771628717903,-1.8472437581604015,-2.013536260222841,-2.68811063493281,-2.6520373016460006,-5.086186213555176,-3.8303844145681847,0
-1.0,-0.9846887612335812,-0.8407347859149796,0.0,-3.7662221363036927,-0.8389344428963834,-3.8775030533560364,-2.393488517195286,-1.637401124519488,-1.579336513656648,-1.859625952224198,-1.7558525258592654,-1.06093133056678,-2.024180750966117,-2.6625791526363893,-1.5956560443934864,-4.885461888377424,-3.9208010242806908,0
-1.0,-0.9640439541790738,-0.8226155756088674,0.0,-3.7360122971208902,-0.7567099073932092,-3.876042644494393,-2.4151448799043074,-1.4449848290444143,-1.5962001080237869,-1.6267869626808376,-1.736131399898913,-0.667775116769969,-2.024834576128069,-2.6508001354416644,-0.8219683630254477,-4.659647022552455,-2.923347948880815,0
-1.0,-0.9668591551410521,-0.7984566285340512,0.0,-3.743562154235567,-0.7693598359321591,-3.877905038000993,-2.176924890105075,-0.2904870561939727,-1.6115718204247966,-1.6267869626808376,-1.7550940868132814,-1.4540875443635908,-2.0174663089134257,-2.6193945621096555,-1.293124322832907,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9696743561030304,-0.8044963653027553,0.0,-3.7467499179538706,-0.7693598359321591,-3.8862154276307375,-2.198581252814096,-0.8677359426191935,-1.606359636160778,-1.6267869626808376,-1.7491982211768677,-1.8472437581604015,-2.013536260222841,-2.6292155489591846,-1.0501070383006386,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.8955407307709362,-0.7139003137721943,0.0,-3.7337760735849934,-0.8262845143574336,-3.862300724964947,-2.1336121646870327,-1.0601522380942672,-1.5927556158372826,-1.6267869626808376,-1.7436964016914132,-1.4540875443635908,-2.0164859886833724,-2.6115470231670965,-2.06185246778192,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9828119605922623,-0.8346950491462756,0.0,-3.7513743615974713,-0.8073096215490086,-3.8639939330149162,-2.4151448799043074,-0.8677359426191935,-1.5906337585031032,-1.859625952224198,-1.7474874564114904,-1.4540875443635908,-2.032290103533548,-2.6724001394859185,-1.4319913425656319,-3.906930803135888,-3.738532620574527,0
-1.0,-0.9640439541790738,-0.8467745226836836,0.0,-3.712044728106263,-0.8326094786269085,-3.8749693319575216,-1.8737358121787795,-0.4829033516690463,-1.610325973614846,-1.6267869626808376,-1.7372091817011008,-1.4540875443635908,-2.031075976093601,-2.5644309543881962,-1.3228815413470623,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9340151439179725,-0.8165758388401634,0.0,-3.719151088374434,-0.8231220322226961,-3.867615855270486,-1.8520794494697583,0.28676183023124824,-1.610608052137854,-1.393947973137477,-1.7441776968454061,-1.4540875443635908,-2.015164142921724,-2.5506939068482746,-1.8188351832496514,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9771815586683057,-0.8346950491462756,0.0,-3.738052799043776,-0.8515843714353333,-3.856870548548899,-2.4368012426133285,-1.4449848290444143,-1.591089785448632,-2.325303931310919,-1.72928777058248,-1.8472437581604015,-2.013536260222841,-2.7018476824727307,-2.6222800831318454,-5.261819998085707,-3.1902922251748826,0
-1.0,-0.9621671535377551,-0.8467745226836836,0.0,-3.720610671892743,-0.7978221751447963,-3.8693604956992704,-2.198581252814096,-1.4449848290444143,-1.6140885876911866,-0.46259201496403546,-1.7497844432364706,-0.2746189029731582,-2.022240568636876,-2.5565834154456373,-1.3526387598612177,-3.8567497218414504,-2.923347948880815,0
