place_id,name,lat,lng,type,rating,review_count,price_level,is_operational,source,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,population_density_proxy,accessibility_score,foot_traffic_score,competition_pressure,suitability
osm_5841071390,Unknown Cafe,27.7076603,85.3189448,cafe,,,,True,openstreetmap,28.0,2.0,0.0,349.72,18.0,355.56,19.0,1.0,34.66,8.0,140.57,4.0,291.52,114.59,2.62,10.0,10.0,High
osm_4756445222,Unknown Cafe,27.7320573,85.3436325,cafe,,,,True,openstreetmap,4.0,1.0,0.0,328.25,9.0,286.26,2.0,0.0,370.7,0.0,500.0,2.0,64.44,12.73,3.88,3.7,3.05,High
osm_3074604293,Bridge Side Cafe,27.7081611,85.3376065,cafe,,,,True,openstreetmap,10.0,5.0,0.0,211.89,23.0,356.57,21.0,1.0,64.0,2.0,233.49,0.0,500.0,66.21,1.72,10.0,6.87,High
osm_4723545207,Unknown Cafe,27.6747667,85.3227411,cafe,,,,True,openstreetmap,,,,,,,,,,,,,,,,,,
osm_3069572516,गौतम बेकरी,27.7070868,85.3230587,cafe,,,,True,openstreetmap,22.0,12.0,0.0,193.72,9.0,315.64,19.0,2.0,46.23,7.0,155.54,2.0,45.12,100.59,3.37,10.0,10.0,High
osm_5992292026,Avocado Cafe,27.7228664,85.3311397,cafe,,,,True,openstreetmap,15.0,6.0,0.0,255.68,10.0,240.83,12.0,2.0,94.89,2.0,20.55,2.0,143.84,50.93,4.88,8.5,10.0,High
osm_5331658970,Nepabeanz,27.6870772,85.3115872,cafe,,,,True,openstreetmap,,,,,,,,,,,,,,,,,,
osm_6562217255,Your Koseli,27.7179861,85.3248612,cafe,,,,True,openstreetmap,15.0,5.0,0.0,274.0,4.0,380.61,9.0,3.0,148.33,2.0,270.18,0.0,500.0,35.65,0.57,7.0,10.0,High
osm_2684770259,Manavog Cafe,27.6719459,85.3121674,cafe,,,,True,openstreetmap,,,,,,,,,,,,,,,,,,
osm_6389906885,छाउनी क्याफे,27.7079628,85.2966682,cafe,,,,True,openstreetmap,2.0,2.0,0.0,91.07,0.0,500.0,14.0,0.0,222.58,0.0,500.0,0.0,500.0,35.65,0.0,4.2,1.77,High
